Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_354,3780,1260,2
graph_132,5040,0,1
graph_709,5040,0,1
graph_708,5040,0,1
graph_693,5040,0,1
graph_865,5040,0,1
graph_864,5040,0,1
graph_692,5040,0,1
graph_195,5040,0,1
graph_194,5040,0,1
graph_0,5040,0,1
graph_851,5040,0,1
graph_85,5040,0,1
graph_850,5040,0,1
graph_84,5040,0,1
graph_1,5040,0,1
graph_269,5040,0,1
graph_268,5040,0,1
graph_635,5040,0,1
graph_453,5040,0,1
graph_17,5040,0,1
graph_452,5040,0,1
graph_16,5040,0,1
graph_634,5040,0,1
graph_959,5040,0,1
graph_958,5040,0,1
graph_107,5040,0,1
graph_361,5040,0,1
graph_360,5040,0,1
graph_106,5040,0,1
graph_220,5040,0,1
graph_221,5040,0,1
graph_818,5040,0,1
graph_488,5040,0,1
graph_819,5040,0,1
graph_489,5040,0,1
graph_982,5040,0,1
graph_512,5040,0,1
graph_774,5040,0,1
graph_775,5040,0,1
graph_983,5040,0,1
graph_513,5040,0,1
graph_328,5040,0,1
graph_329,5040,0,1
graph_580,5040,0,1
graph_910,5040,0,1
graph_581,5040,0,1
graph_911,5040,0,1
graph_1043,5040,0,1
graph_1042,5040,0,1
graph_257,5040,0,1
graph_256,5040,0,1
graph_699,5040,0,1
graph_698,5040,0,1
graph_703,5040,0,1
graph_565,5040,0,1
graph_564,5040,0,1
graph_702,5040,0,1
graph_139,5040,0,1
graph_138,5040,0,1
graph_791,3780,1260,2
graph_967,5040,0,1
graph_966,5040,0,1
graph_790,5040,0,1
graph_1034,5040,0,1
graph_1035,5040,0,1
graph_29,5040,0,1
graph_28,5040,0,1
graph_384,5040,0,1
graph_385,5040,0,1
graph_826,5040,0,1
graph_827,5040,0,1
graph_424,3360,1680,2
graph_60,5040,0,1
graph_642,5040,0,1
graph_643,5040,0,1
graph_425,5040,0,1
graph_61,5040,0,1
graph_316,5040,0,1
graph_170,5040,0,1
graph_171,5040,0,1
graph_317,5040,0,1
graph_767,3024,2016,2
graph_991,5040,0,1
graph_501,5040,0,1
graph_990,0,5040,3
graph_500,5040,0,1
graph_766,5040,0,1
graph_233,5040,0,1
graph_232,5040,0,1
graph_409,5040,0,1
graph_899,5040,0,1
graph_408,5040,0,1
graph_898,5040,0,1
graph_593,5040,0,1
graph_903,5040,0,1
graph_592,5040,0,1
graph_902,5040,0,1
graph_842,5040,0,1
graph_96,5040,0,1
graph_843,5040,0,1
graph_97,5040,0,1
graph_186,5040,0,1
graph_187,5040,0,1
graph_548,5040,0,1
graph_549,5040,0,1
graph_372,5040,0,1
graph_114,5040,0,1
graph_115,5040,0,1
