num_nodes,removal_percent,graph_id,file_graph_id,true_mis,mis_min_degree,mis_random,mis_prob,mis_low_neighbor_prob,mis_prob_model,mis_low_neighbor_prob_model
55,75,4432,3,14,14,11.4,14,14,14,13
55,75,4433,30,13,12,10.0,13,13,11,13
55,75,4434,4,14,13,9.8,14,14,13,14
55,75,4435,5,13,13,11.0,13,13,11,13
55,75,4436,6,13,12,10.2,13,13,11,11
55,75,4437,7,15,13,9.6,15,15,13,14
55,75,4438,8,13,12,9.8,13,13,11,13
55,75,4439,9,14,14,10.6,14,14,12,12
55,80,4440,1,16,16,13.4,16,16,15,15
55,80,4441,10,16,16,12.2,16,16,16,16
55,80,4442,11,16,14,11.8,16,16,16,16
55,80,4443,12,16,14,11.4,16,16,14,16
55,80,4444,13,15,14,11.6,15,15,13,13
55,80,4445,14,16,15,10.8,15,16,15,16
55,80,4446,15,17,17,12.8,17,17,14,15
55,80,4447,16,14,14,12.0,14,14,14,14
55,80,4448,17,15,14,10.8,15,15,12,13
55,80,4449,18,15,14,11.8,15,15,13,13
55,80,4450,19,14,13,11.2,14,14,13,13
55,80,4451,2,15,14,12.2,15,15,14,14
55,80,4452,20,15,14,11.2,15,15,13,14
55,80,4453,21,15,13,11.2,15,15,13,14
55,80,4454,22,16,15,12.2,16,16,14,14
55,80,4455,23,15,13,10.8,15,15,13,14
55,80,4456,24,16,16,11.8,16,16,14,15
55,80,4457,25,17,17,13.0,17,17,16,16
55,80,4458,26,15,15,12.4,13,15,15,15
55,80,4459,27,17,15,12.2,17,17,13,14
55,80,4460,28,16,15,11.8,16,16,15,15
55,80,4461,29,15,15,12.6,15,15,15,15
55,80,4462,3,15,13,11.6,14,15,13,13
55,80,4463,30,15,14,11.2,15,15,14,14
55,80,4464,4,16,15,11.0,16,16,14,16
55,80,4465,5,16,16,12.6,16,16,16,16
55,80,4466,6,16,15,11.8,16,16,15,15
55,80,4467,7,15,14,10.6,15,15,14,14
55,80,4468,8,16,14,12.8,16,16,14,16
55,80,4469,9,15,14,11.6,15,15,14,14
55,85,4470,1,18,18,14.8,18,18,17,18
55,85,4471,10,18,17,12.4,18,18,15,17
55,85,4472,11,19,17,14.4,19,19,16,17
55,85,4473,12,18,17,14.4,18,18,15,16
55,85,4474,13,19,18,14.2,19,19,19,18
55,85,4475,14,18,17,15.0,18,18,16,16
55,85,4476,15,19,19,14.8,19,19,19,19
55,85,4477,16,18,17,13.2,18,18,18,18
55,85,4478,17,17,16,13.6,16,16,15,16
55,85,4479,18,19,18,13.8,19,19,15,17
55,85,4480,19,19,18,13.6,19,19,18,18
55,85,4481,2,18,17,15.2,18,18,16,16
55,85,4482,20,18,18,14.8,18,18,18,18
55,85,4483,21,18,18,14.4,18,18,17,18
55,85,4484,22,18,17,15.4,17,18,16,17
55,85,4485,23,18,18,14.2,18,18,16,16
55,85,4486,24,20,18,15.0,20,20,18,18
55,85,4487,25,17,16,13.8,17,17,15,17
55,85,4488,26,18,18,13.6,17,18,16,18
55,85,4489,27,18,18,14.0,18,18,18,18
55,85,4490,28,19,18,16.0,19,19,17,18
55,85,4491,29,19,17,15.2,19,19,16,18
55,85,4492,3,18,18,13.8,18,18,17,18
55,85,4493,30,20,20,14.4,20,20,20,20
55,85,4494,4,19,19,15.4,19,19,18,18
55,85,4495,5,18,15,14.4,18,18,18,18
55,85,4496,6,18,17,14.4,18,18,18,18
55,85,4497,7,17,16,14.2,17,17,16,16
55,85,4498,8,18,18,13.8,18,18,18,18
55,85,4499,9,18,17,13.0,18,18,15,17
