graph_name,vanilla_greedy_mis_size,augmented_greedy_mis_size
graph_406.edgelist,4,4
graph_407.edgelist,4,4
graph_408.edgelist,4,4
graph_409.edgelist,4,4
graph_41.edgelist,5,5
graph_410.edgelist,4,4
graph_411.edgelist,4,4
graph_412.edgelist,4,4
graph_413.edgelist,3,3
graph_414.edgelist,3,3
graph_415.edgelist,4,4
graph_416.edgelist,4,4
graph_417.edgelist,4,4
graph_418.edgelist,3,3
graph_419.edgelist,3,3
graph_42.edgelist,5,5
graph_420.edgelist,3,3
graph_421.edgelist,3,3
graph_422.edgelist,4,4
graph_423.edgelist,3,3
graph_424.edgelist,3,3
graph_425.edgelist,3,3
graph_426.edgelist,3,3
graph_427.edgelist,3,3
graph_428.edgelist,4,4
graph_429.edgelist,3,3
graph_43.edgelist,5,5
graph_430.edgelist,3,3
graph_431.edgelist,3,3
graph_432.edgelist,3,3
graph_433.edgelist,3,3
graph_434.edgelist,3,3
graph_435.edgelist,3,3
graph_436.edgelist,3,3
graph_437.edgelist,3,3
graph_438.edgelist,3,3
graph_439.edgelist,4,4
graph_44.edgelist,5,5
graph_440.edgelist,3,3
graph_441.edgelist,3,3
graph_442.edgelist,3,3
graph_443.edgelist,3,3
graph_444.edgelist,4,4
graph_445.edgelist,3,3
graph_446.edgelist,3,3
graph_447.edgelist,3,3
graph_448.edgelist,3,3
graph_449.edgelist,3,3
graph_45.edgelist,4,4
graph_450.edgelist,3,3
graph_451.edgelist,4,4
graph_452.edgelist,4,4
graph_453.edgelist,3,3
graph_454.edgelist,3,3
graph_455.edgelist,4,4
graph_456.edgelist,3,3
graph_457.edgelist,3,3
graph_458.edgelist,3,3
graph_459.edgelist,3,3
graph_46.edgelist,4,4
graph_460.edgelist,3,3
graph_461.edgelist,3,3
graph_462.edgelist,4,4
graph_463.edgelist,3,3
graph_464.edgelist,3,3
graph_465.edgelist,3,3
graph_466.edgelist,4,4
graph_467.edgelist,3,3
graph_468.edgelist,3,3
graph_469.edgelist,3,3
graph_47.edgelist,5,5
graph_470.edgelist,3,3
graph_471.edgelist,3,3
graph_472.edgelist,4,4
graph_473.edgelist,4,4
graph_474.edgelist,3,3
graph_475.edgelist,3,3
graph_476.edgelist,3,3
graph_477.edgelist,3,3
graph_478.edgelist,3,3
graph_479.edgelist,3,3
graph_48.edgelist,4,4
graph_480.edgelist,3,3
graph_481.edgelist,3,3
graph_482.edgelist,4,4
graph_483.edgelist,3,3
graph_484.edgelist,3,3
graph_485.edgelist,3,3
graph_486.edgelist,3,3
graph_487.edgelist,3,3
graph_488.edgelist,3,3
graph_489.edgelist,3,3
graph_49.edgelist,4,4
graph_490.edgelist,3,3
graph_491.edgelist,3,3
graph_492.edgelist,4,4
graph_493.edgelist,3,3
graph_494.edgelist,4,4
graph_495.edgelist,2,2
graph_496.edgelist,3,3
graph_497.edgelist,3,3
graph_498.edgelist,3,3
graph_499.edgelist,3,3
graph_5.edgelist,5,5
graph_50.edgelist,5,5
graph_500.edgelist,3,3
graph_501.edgelist,3,3
graph_502.edgelist,3,3
graph_503.edgelist,3,3
graph_504.edgelist,3,3
graph_505.edgelist,3,3
graph_506.edgelist,3,3
graph_507.edgelist,3,3
graph_508.edgelist,3,3
graph_509.edgelist,3,3
graph_51.edgelist,5,5
graph_510.edgelist,3,3
graph_511.edgelist,3,3
graph_512.edgelist,4,4
graph_513.edgelist,3,3
graph_514.edgelist,3,3
graph_515.edgelist,3,3
graph_516.edgelist,3,3
graph_517.edgelist,4,4
graph_518.edgelist,3,3
graph_519.edgelist,3,3
graph_52.edgelist,4,4
graph_520.edgelist,3,3
graph_521.edgelist,3,3
graph_522.edgelist,5,5
graph_523.edgelist,4,4
