Running job on gpu-5-28
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [45]
Removal percentages to process: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]%
Number of iterations per combination: 50
Processed generated_graphs/nodes_45/removal_20percent/graph_43.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_8.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_45percent/graph_1.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_55percent/graph_2.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_60percent/graph_7.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_70percent/graph_43.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_32.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_31.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_44.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_35percent/graph_32.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_40percent/graph_6.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_42.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_34.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_70percent/graph_31.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_48.edgelist: MIS size = 13
Processed generated_graphs/nodes_45/removal_20percent/graph_32.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_17.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_45percent/graph_16.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_30.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_36.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_15.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_40.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_4.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_2.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_35percent/graph_26.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_45percent/graph_44.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_55percent/graph_34.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_60percent/graph_50.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_70percent/graph_48.edgelist: MIS size = 12
Processed generated_graphs/nodes_45/removal_80percent/graph_22.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_39.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_42.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_35percent/graph_48.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_45percent/graph_19.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_55percent/graph_26.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_65percent/graph_2.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_70percent/graph_9.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_80percent/graph_37.edgelist: MIS size = 13
Processed generated_graphs/nodes_45/removal_20percent/graph_14.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_8.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_35percent/graph_40.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_45percent/graph_15.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_29.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_18.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_70percent/graph_18.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_30.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_38.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_23.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_33.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_55percent/graph_27.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_60percent/graph_9.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_35.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_21.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_34.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_21.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_29.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_34.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_37.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_14.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_10.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_47.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_30percent/graph_4.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_49.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_40.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_60percent/graph_44.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_70percent/graph_30.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_80percent/graph_12.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_33.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_32.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_41.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_6.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_32.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_10.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_2.edgelist: MIS size = 15
Processed generated_graphs/nodes_45/removal_15percent/graph_26.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_24.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_9.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_8.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_9.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_30.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_70percent/graph_29.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_80percent/graph_17.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_1.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_25percent/graph_38.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_35percent/graph_10.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_45percent/graph_24.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_50percent/graph_8.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_43.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_70percent/graph_11.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_1.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_33.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_40.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_40percent/graph_21.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_44.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_41.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_70percent/graph_6.edgelist: MIS size = 12
Processed generated_graphs/nodes_45/removal_80percent/graph_5.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_49.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_24.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_32.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_28.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_55percent/graph_47.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_65percent/graph_39.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_70percent/graph_5.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_45.edgelist: MIS size = 15
Processed generated_graphs/nodes_45/removal_20percent/graph_31.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_27.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_35percent/graph_8.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_15.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_15.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_65percent/graph_9.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_75percent/graph_29.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_9.edgelist: MIS size = 13
Processed generated_graphs/nodes_45/removal_15percent/graph_40.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_41.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_40percent/graph_19.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_12.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_21.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_39.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_29.edgelist: MIS size = 15
Processed generated_graphs/nodes_45/removal_20percent/graph_13.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_34.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_22.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_10.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_20.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_47.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_33.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_22.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_43.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_35percent/graph_47.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_17.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_60percent/graph_42.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_41.edgelist: MIS size = 12
Processed generated_graphs/nodes_45/removal_80percent/graph_50.edgelist: MIS size = 15
Processed generated_graphs/nodes_45/removal_20percent/graph_27.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_41.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_24.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_39.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_28.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_17.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_42.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_4.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_42.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_13.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_1.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_11.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_2.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_80percent/graph_26.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_36.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_36.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_45percent/graph_27.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_55percent/graph_24.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_65percent/graph_16.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_8.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_19.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_5.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_18.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_35percent/graph_20.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_45percent/graph_49.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_55percent/graph_42.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_65percent/graph_23.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_75percent/graph_3.edgelist: MIS size = 13
Processed generated_graphs/nodes_45/removal_85percent/graph_43.edgelist: MIS size = 16
All tasks processed. Total results collected: 750
Saved results for Nodes=45, Removal=15% to mis_results_grouped/nodes_45_removal_15percent.json
Saved results for Nodes=45, Removal=20% to mis_results_grouped/nodes_45_removal_20percent.json
Saved results for Nodes=45, Removal=25% to mis_results_grouped/nodes_45_removal_25percent.json
Saved results for Nodes=45, Removal=30% to mis_results_grouped/nodes_45_removal_30percent.json
Saved results for Nodes=45, Removal=35% to mis_results_grouped/nodes_45_removal_35percent.json
Saved results for Nodes=45, Removal=40% to mis_results_grouped/nodes_45_removal_40percent.json
Saved results for Nodes=45, Removal=45% to mis_results_grouped/nodes_45_removal_45percent.json
Saved results for Nodes=45, Removal=50% to mis_results_grouped/nodes_45_removal_50percent.json
Saved results for Nodes=45, Removal=55% to mis_results_grouped/nodes_45_removal_55percent.json
Saved results for Nodes=45, Removal=60% to mis_results_grouped/nodes_45_removal_60percent.json
Saved results for Nodes=45, Removal=65% to mis_results_grouped/nodes_45_removal_65percent.json
Saved results for Nodes=45, Removal=70% to mis_results_grouped/nodes_45_removal_70percent.json
Saved results for Nodes=45, Removal=75% to mis_results_grouped/nodes_45_removal_75percent.json
Saved results for Nodes=45, Removal=80% to mis_results_grouped/nodes_45_removal_80percent.json
Saved results for Nodes=45, Removal=85% to mis_results_grouped/nodes_45_removal_85percent.json
All grouped results have been saved.
