Running job on gpu-5-11
Requested resources:
  - CPUs: 32
  - GPUs: 
  - Memory: 64000
Total graphs to generate: 450
Using 128 processes for parallel graph generation.
Saved graph: Nodes=90, Removal=55%, Iteration=11
Saved graph: Nodes=90, Removal=50%, Iteration=4
Saved graph: Nodes=90, Removal=55%, Iteration=9
Saved graph: Nodes=90, Removal=55%, Iteration=14
Saved graph: Nodes=90, Removal=55%, Iteration=10
Saved graph: Nodes=90, Removal=50%, Iteration=26
Saved graph: Nodes=90, Removal=50%, Iteration=15
Saved graph: Nodes=90, Removal=50%, Iteration=11
Saved graph: Nodes=90, Removal=50%, Iteration=3
Saved graph: Nodes=90, Removal=55%, Iteration=20
Saved graph: Nodes=90, Removal=50%, Iteration=5
Saved graph: Nodes=90, Removal=55%, Iteration=15
Saved graph: Nodes=90, Removal=50%, Iteration=12
Saved graph: Nodes=90, Removal=50%, Iteration=20
Saved graph: Nodes=90, Removal=55%, Iteration=8
Saved graph: Nodes=90, Removal=55%, Iteration=12
Saved graph: Nodes=90, Removal=50%, Iteration=9
Saved graph: Nodes=90, Removal=50%, Iteration=7
Saved graph: Nodes=90, Removal=50%, Iteration=16
Saved graph: Nodes=90, Removal=55%, Iteration=21
Saved graph: Nodes=90, Removal=50%, Iteration=25
Saved graph: Nodes=90, Removal=55%, Iteration=16
Saved graph: Nodes=90, Removal=55%, Iteration=18
Saved graph: Nodes=90, Removal=55%, Iteration=23
Saved graph: Nodes=90, Removal=50%, Iteration=28
Saved graph: Nodes=90, Removal=50%, Iteration=19
Saved graph: Nodes=90, Removal=55%, Iteration=22
Saved graph: Nodes=90, Removal=55%, Iteration=24
Saved graph: Nodes=90, Removal=55%, Iteration=17
Saved graph: Nodes=90, Removal=50%, Iteration=8
Saved graph: Nodes=90, Removal=60%, Iteration=2
Saved graph: Nodes=90, Removal=55%, Iteration=26
Saved graph: Nodes=90, Removal=60%, Iteration=1
Saved graph: Nodes=90, Removal=55%, Iteration=19
Saved graph: Nodes=90, Removal=55%, Iteration=28
Saved graph: Nodes=90, Removal=55%, Iteration=30
Saved graph: Nodes=90, Removal=50%, Iteration=2
Saved graph: Nodes=90, Removal=55%, Iteration=29
Saved graph: Nodes=90, Removal=55%, Iteration=25
Saved graph: Nodes=90, Removal=60%, Iteration=7
Saved graph: Nodes=90, Removal=60%, Iteration=8
Saved graph: Nodes=90, Removal=60%, Iteration=4
Saved graph: Nodes=90, Removal=60%, Iteration=5
Saved graph: Nodes=90, Removal=60%, Iteration=6
Saved graph: Nodes=90, Removal=60%, Iteration=9
Saved graph: Nodes=90, Removal=70%, Iteration=29
Saved graph: Nodes=90, Removal=60%, Iteration=10
Saved graph: Nodes=90, Removal=60%, Iteration=15
Saved graph: Nodes=90, Removal=75%, Iteration=3
Saved graph: Nodes=90, Removal=60%, Iteration=22
Saved graph: Nodes=90, Removal=75%, Iteration=8
Saved graph: Nodes=90, Removal=60%, Iteration=14
Saved graph: Nodes=90, Removal=60%, Iteration=20
Saved graph: Nodes=90, Removal=60%, Iteration=11
Saved graph: Nodes=90, Removal=75%, Iteration=21
Saved graph: Nodes=90, Removal=60%, Iteration=17
Saved graph: Nodes=90, Removal=60%, Iteration=25
Saved graph: Nodes=90, Removal=60%, Iteration=16
Saved graph: Nodes=90, Removal=60%, Iteration=26
Saved graph: Nodes=90, Removal=60%, Iteration=18
Saved graph: Nodes=90, Removal=60%, Iteration=23
Saved graph: Nodes=90, Removal=75%, Iteration=28
Saved graph: Nodes=90, Removal=60%, Iteration=19
Saved graph: Nodes=90, Removal=60%, Iteration=27
Saved graph: Nodes=90, Removal=60%, Iteration=30
Saved graph: Nodes=90, Removal=60%, Iteration=12
Saved graph: Nodes=90, Removal=60%, Iteration=29
Saved graph: Nodes=90, Removal=60%, Iteration=24
Saved graph: Nodes=90, Removal=60%, Iteration=28
Saved graph: Nodes=90, Removal=70%, Iteration=1
Saved graph: Nodes=90, Removal=70%, Iteration=10
Saved graph: Nodes=90, Removal=70%, Iteration=15
Saved graph: Nodes=90, Removal=65%, Iteration=26
Saved graph: Nodes=90, Removal=70%, Iteration=16
Saved graph: Nodes=90, Removal=70%, Iteration=2
Saved graph: Nodes=90, Removal=70%, Iteration=3
Saved graph: Nodes=90, Removal=65%, Iteration=30
Saved graph: Nodes=90, Removal=70%, Iteration=5
Saved graph: Nodes=90, Removal=70%, Iteration=7
Saved graph: Nodes=90, Removal=65%, Iteration=18
Saved graph: Nodes=90, Removal=70%, Iteration=8
Saved graph: Nodes=90, Removal=70%, Iteration=4
Saved graph: Nodes=90, Removal=65%, Iteration=4
Saved graph: Nodes=90, Removal=70%, Iteration=6
Saved graph: Nodes=90, Removal=65%, Iteration=19
Saved graph: Nodes=90, Removal=65%, Iteration=1
Saved graph: Nodes=90, Removal=70%, Iteration=9
Saved graph: Nodes=90, Removal=70%, Iteration=13
Saved graph: Nodes=90, Removal=65%, Iteration=9
Saved graph: Nodes=90, Removal=70%, Iteration=11
Saved graph: Nodes=90, Removal=70%, Iteration=12
Saved graph: Nodes=90, Removal=65%, Iteration=24
Saved graph: Nodes=90, Removal=70%, Iteration=17
Saved graph: Nodes=90, Removal=65%, Iteration=2
Saved graph: Nodes=90, Removal=65%, Iteration=25
Saved graph: Nodes=90, Removal=70%, Iteration=14
Saved graph: Nodes=90, Removal=70%, Iteration=21
Saved graph: Nodes=90, Removal=65%, Iteration=15
Saved graph: Nodes=90, Removal=70%, Iteration=20
Saved graph: Nodes=90, Removal=65%, Iteration=10
Saved graph: Nodes=90, Removal=65%, Iteration=12
Saved graph: Nodes=90, Removal=70%, Iteration=19
Saved graph: Nodes=90, Removal=65%, Iteration=22
Saved graph: Nodes=90, Removal=70%, Iteration=18
Saved graph: Nodes=90, Removal=65%, Iteration=28
Saved graph: Nodes=90, Removal=65%, Iteration=7
Saved graph: Nodes=90, Removal=65%, Iteration=23
Saved graph: Nodes=90, Removal=70%, Iteration=24
Saved graph: Nodes=90, Removal=70%, Iteration=25
Saved graph: Nodes=90, Removal=70%, Iteration=22
Saved graph: Nodes=90, Removal=65%, Iteration=29
Saved graph: Nodes=90, Removal=70%, Iteration=26
Saved graph: Nodes=90, Removal=65%, Iteration=5
Saved graph: Nodes=90, Removal=65%, Iteration=21
Saved graph: Nodes=90, Removal=65%, Iteration=6
Saved graph: Nodes=90, Removal=70%, Iteration=23
Saved graph: Nodes=90, Removal=65%, Iteration=17
Saved graph: Nodes=90, Removal=65%, Iteration=16
Saved graph: Nodes=90, Removal=65%, Iteration=11
Saved graph: Nodes=90, Removal=75%, Iteration=1
Saved graph: Nodes=90, Removal=65%, Iteration=27
Saved graph: Nodes=90, Removal=65%, Iteration=13
Saved graph: Nodes=90, Removal=75%, Iteration=6
Saved graph: Nodes=90, Removal=65%, Iteration=8
Saved graph: Nodes=90, Removal=70%, Iteration=30
Saved graph: Nodes=90, Removal=70%, Iteration=27
Saved graph: Nodes=90, Removal=65%, Iteration=14
Saved graph: Nodes=90, Removal=75%, Iteration=5
Saved graph: Nodes=90, Removal=75%, Iteration=4
Saved graph: Nodes=90, Removal=65%, Iteration=3
Saved graph: Nodes=90, Removal=70%, Iteration=28
Saved graph: Nodes=90, Removal=75%, Iteration=2
Saved graph: Nodes=90, Removal=65%, Iteration=20
Saved graph: Nodes=90, Removal=75%, Iteration=7
Saved graph: Nodes=90, Removal=75%, Iteration=11
Saved graph: Nodes=90, Removal=75%, Iteration=9
Saved graph: Nodes=90, Removal=75%, Iteration=13
Saved graph: Nodes=90, Removal=75%, Iteration=10
Saved graph: Nodes=90, Removal=75%, Iteration=14
Saved graph: Nodes=90, Removal=75%, Iteration=16
Saved graph: Nodes=90, Removal=75%, Iteration=22
Saved graph: Nodes=90, Removal=75%, Iteration=12
Saved graph: Nodes=90, Removal=75%, Iteration=23
Saved graph: Nodes=90, Removal=75%, Iteration=18
Saved graph: Nodes=90, Removal=75%, Iteration=27
Saved graph: Nodes=90, Removal=75%, Iteration=15
Saved graph: Nodes=90, Removal=75%, Iteration=19
Saved graph: Nodes=90, Removal=75%, Iteration=20
Saved graph: Nodes=90, Removal=75%, Iteration=17
Saved graph: Nodes=90, Removal=75%, Iteration=26
Saved graph: Nodes=90, Removal=75%, Iteration=25
Saved graph: Nodes=90, Removal=75%, Iteration=30
Saved graph: Nodes=90, Removal=75%, Iteration=29
Saved graph: Nodes=90, Removal=75%, Iteration=24
Saved graph: Nodes=90, Removal=85%, Iteration=9
Saved graph: Nodes=90, Removal=85%, Iteration=15
Saved graph: Nodes=90, Removal=80%, Iteration=16
Saved graph: Nodes=90, Removal=80%, Iteration=17
Saved graph: Nodes=90, Removal=85%, Iteration=12
Saved graph: Nodes=90, Removal=80%, Iteration=23
Saved graph: Nodes=90, Removal=85%, Iteration=4
Saved graph: Nodes=90, Removal=85%, Iteration=10
Saved graph: Nodes=90, Removal=85%, Iteration=8
Saved graph: Nodes=90, Removal=80%, Iteration=28
Saved graph: Nodes=90, Removal=80%, Iteration=22
Saved graph: Nodes=90, Removal=80%, Iteration=29
Saved graph: Nodes=90, Removal=85%, Iteration=11
Saved graph: Nodes=90, Removal=85%, Iteration=2
Saved graph: Nodes=90, Removal=80%, Iteration=26
Saved graph: Nodes=90, Removal=80%, Iteration=20
Saved graph: Nodes=90, Removal=80%, Iteration=5
Saved graph: Nodes=90, Removal=85%, Iteration=28
Saved graph: Nodes=90, Removal=85%, Iteration=5
Saved graph: Nodes=90, Removal=80%, Iteration=18
Saved graph: Nodes=90, Removal=80%, Iteration=2
Saved graph: Nodes=90, Removal=80%, Iteration=27
Saved graph: Nodes=90, Removal=85%, Iteration=13
Saved graph: Nodes=90, Removal=80%, Iteration=19
Saved graph: Nodes=90, Removal=85%, Iteration=14
Saved graph: Nodes=90, Removal=85%, Iteration=7
Saved graph: Nodes=90, Removal=80%, Iteration=24
Saved graph: Nodes=90, Removal=80%, Iteration=15
Saved graph: Nodes=90, Removal=80%, Iteration=21
Saved graph: Nodes=90, Removal=85%, Iteration=3
Saved graph: Nodes=90, Removal=80%, Iteration=10
Saved graph: Nodes=90, Removal=80%, Iteration=6
Saved graph: Nodes=90, Removal=85%, Iteration=19
Saved graph: Nodes=90, Removal=80%, Iteration=3
Saved graph: Nodes=90, Removal=85%, Iteration=17
Saved graph: Nodes=90, Removal=80%, Iteration=11
Saved graph: Nodes=90, Removal=85%, Iteration=25
Saved graph: Nodes=90, Removal=80%, Iteration=25
Saved graph: Nodes=90, Removal=85%, Iteration=23
Saved graph: Nodes=90, Removal=80%, Iteration=8
Saved graph: Nodes=90, Removal=80%, Iteration=12
Saved graph: Nodes=90, Removal=80%, Iteration=1
Saved graph: Nodes=90, Removal=85%, Iteration=18
Saved graph: Nodes=90, Removal=85%, Iteration=26
Saved graph: Nodes=90, Removal=80%, Iteration=14
Saved graph: Nodes=90, Removal=85%, Iteration=30
Saved graph: Nodes=90, Removal=80%, Iteration=9
Saved graph: Nodes=90, Removal=80%, Iteration=13
Saved graph: Nodes=90, Removal=80%, Iteration=30
Saved graph: Nodes=90, Removal=85%, Iteration=21
Saved graph: Nodes=90, Removal=85%, Iteration=29
Saved graph: Nodes=90, Removal=85%, Iteration=6
Saved graph: Nodes=90, Removal=80%, Iteration=7
Saved graph: Nodes=90, Removal=80%, Iteration=4
Saved graph: Nodes=90, Removal=85%, Iteration=20
Saved graph: Nodes=90, Removal=85%, Iteration=16
Saved graph: Nodes=90, Removal=85%, Iteration=22
Saved graph: Nodes=90, Removal=85%, Iteration=27
Saved graph: Nodes=90, Removal=85%, Iteration=24
Saved graph: Nodes=90, Removal=85%, Iteration=1
Graph generation complete.
Processing node counts: [90]
Processing removal percentages: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]
Iterations per combination: 10
Base directory: 'test_generated_graphs', Output directory: 'test_mis_results_grouped_v3'
Temporary backup mode enabled.
Temporary backup directory created: /tmp/mis_temp_5tpoff8k
Total tasks to process: 450
Using 128 parallel processes.
slurmstepd: error: *** JOB 1167084 ON gpu-5-11 CANCELLED AT 2025-02-10T09:15:57 ***
