Running job on gpu-3-01
Requested resources:
  - CPUs: 32
  - GPUs: 
  - Memory: 64000
modelTrain_prob.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(MODEL_SAVE_PATH))
Warning: JSON file 'mis_results_grouped_v3/nodes_80_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_85_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_80percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_85percent.json' does not exist. Skipping.
Total JSON files found: 251
Total edgelist directories found: 251
Total graphs in dataset: 39900
Train Dataset Size: 31920
Validation Dataset Size: 7980

Calculating baseline MAE (predicting 0.5 for every node):
Baseline Training MAE: 0.4161
Baseline Validation MAE: 0.4170
Epoch 054 | Train Loss: 0.3462 | Validation Loss: 0.3450 | Validation MAE: 0.1384
Epoch 055 | Train Loss: 0.3459 | Validation Loss: 0.3440 | Validation MAE: 0.1410
Epoch 056 | Train Loss: 0.3459 | Validation Loss: 0.3485 | Validation MAE: 0.1524
Epoch 057 | Train Loss: 0.3457 | Validation Loss: 0.3441 | Validation MAE: 0.1388
Epoch 058 | Train Loss: 0.3463 | Validation Loss: 0.3486 | Validation MAE: 0.1349
Epoch 059 | Train Loss: 0.3457 | Validation Loss: 0.3437 | Validation MAE: 0.1395
Epoch 060 | Train Loss: 0.3458 | Validation Loss: 0.3569 | Validation MAE: 0.1331
Epoch 061 | Train Loss: 0.3453 | Validation Loss: 0.3435 | Validation MAE: 0.1410
Epoch 062 | Train Loss: 0.3452 | Validation Loss: 0.3450 | Validation MAE: 0.1364
Epoch 063 | Train Loss: 0.3456 | Validation Loss: 0.3433 | Validation MAE: 0.1413
Epoch 064 | Train Loss: 0.3457 | Validation Loss: 0.3435 | Validation MAE: 0.1401
Epoch 065 | Train Loss: 0.3449 | Validation Loss: 0.3436 | Validation MAE: 0.1383
Epoch 066 | Train Loss: 0.3451 | Validation Loss: 0.3437 | Validation MAE: 0.1439
Epoch 067 | Train Loss: 0.3453 | Validation Loss: 0.3431 | Validation MAE: 0.1400
Epoch 068 | Train Loss: 0.3448 | Validation Loss: 0.3436 | Validation MAE: 0.1377
Epoch 069 | Train Loss: 0.3446 | Validation Loss: 0.3436 | Validation MAE: 0.1375
Epoch 070 | Train Loss: 0.3449 | Validation Loss: 0.3449 | Validation MAE: 0.1358
Epoch 071 | Train Loss: 0.3450 | Validation Loss: 0.3455 | Validation MAE: 0.1355
Epoch 072 | Train Loss: 0.3448 | Validation Loss: 0.3428 | Validation MAE: 0.1409
Epoch 073 | Train Loss: 0.3445 | Validation Loss: 0.3447 | Validation MAE: 0.1353
Epoch 074 | Train Loss: 0.3442 | Validation Loss: 0.3432 | Validation MAE: 0.1431
Epoch 075 | Train Loss: 0.3444 | Validation Loss: 0.3441 | Validation MAE: 0.1357
Epoch 076 | Train Loss: 0.3443 | Validation Loss: 0.3507 | Validation MAE: 0.1565
Epoch 077 | Train Loss: 0.3445 | Validation Loss: 0.3477 | Validation MAE: 0.1339
Epoch 078 | Train Loss: 0.3444 | Validation Loss: 0.3427 | Validation MAE: 0.1381
Epoch 079 | Train Loss: 0.3445 | Validation Loss: 0.3424 | Validation MAE: 0.1404
Epoch 080 | Train Loss: 0.3442 | Validation Loss: 0.3424 | Validation MAE: 0.1401
Epoch 081 | Train Loss: 0.3439 | Validation Loss: 0.3454 | Validation MAE: 0.1485
Epoch 082 | Train Loss: 0.3440 | Validation Loss: 0.3430 | Validation MAE: 0.1365
Epoch 083 | Train Loss: 0.3439 | Validation Loss: 0.3465 | Validation MAE: 0.1503
Epoch 084 | Train Loss: 0.3443 | Validation Loss: 0.3460 | Validation MAE: 0.1337
Epoch 085 | Train Loss: 0.3438 | Validation Loss: 0.3504 | Validation MAE: 0.1563
Epoch 086 | Train Loss: 0.3440 | Validation Loss: 0.3450 | Validation MAE: 0.1344
Epoch 087 | Train Loss: 0.3435 | Validation Loss: 0.3420 | Validation MAE: 0.1389
Epoch 088 | Train Loss: 0.3436 | Validation Loss: 0.3452 | Validation MAE: 0.1345
Epoch 089 | Train Loss: 0.3440 | Validation Loss: 0.3428 | Validation MAE: 0.1363
Epoch 090 | Train Loss: 0.3437 | Validation Loss: 0.3425 | Validation MAE: 0.1427
Epoch 091 | Train Loss: 0.3435 | Validation Loss: 0.3418 | Validation MAE: 0.1386
Epoch 092 | Train Loss: 0.3434 | Validation Loss: 0.3430 | Validation MAE: 0.1352
Epoch 093 | Train Loss: 0.3433 | Validation Loss: 0.3423 | Validation MAE: 0.1427
Epoch 094 | Train Loss: 0.3434 | Validation Loss: 0.3417 | Validation MAE: 0.1385
Epoch 095 | Train Loss: 0.3432 | Validation Loss: 0.3441 | Validation MAE: 0.1468
Epoch 096 | Train Loss: 0.3431 | Validation Loss: 0.3416 | Validation MAE: 0.1379
Epoch 097 | Train Loss: 0.3429 | Validation Loss: 0.3484 | Validation MAE: 0.1326
