Running job on gpu-5-11
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [100, 105, 110, 115, 120, 125, 130, 135, 140, 145, 150]
Removal percentages to process: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]%
Base directory: generated_graphs
Output directory: greedy_mis_results_grouped
Total tasks to process: 8250
Using 128 processes for parallel computation.
Processed generated_graphs/nodes_135/removal_45percent/graph_7.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_135/removal_60percent/graph_49.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_135/removal_75percent/graph_14.edgelist: Greedy MIS size = 16
Processed generated_graphs/nodes_135/removal_85percent/graph_10.edgelist: Greedy MIS size = 24
Processed generated_graphs/nodes_140/removal_20percent/graph_13.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_140/removal_30percent/graph_38.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_140/removal_40percent/graph_47.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_140/removal_55percent/graph_45.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_140/removal_65percent/graph_48.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_140/removal_75percent/graph_47.edgelist: Greedy MIS size = 17
Processed generated_graphs/nodes_145/removal_15percent/graph_32.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_145/removal_30percent/graph_1.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_145/removal_40percent/graph_9.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_145/removal_60percent/graph_30.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_145/removal_75percent/graph_35.edgelist: Greedy MIS size = 15
Processed generated_graphs/nodes_150/removal_15percent/graph_28.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_150/removal_35percent/graph_18.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_150/removal_45percent/graph_33.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_150/removal_60percent/graph_27.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_150/removal_70percent/graph_50.edgelist: Greedy MIS size = 14
Processed generated_graphs/nodes_100/removal_20percent/graph_49.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_100/removal_30percent/graph_6.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_100/removal_50percent/graph_3.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_100/removal_75percent/graph_11.edgelist: Greedy MIS size = 15
Processed generated_graphs/nodes_100/removal_85percent/graph_49.edgelist: Greedy MIS size = 20
Processed generated_graphs/nodes_105/removal_25percent/graph_11.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_105/removal_35percent/graph_21.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_105/removal_55percent/graph_12.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_105/removal_60percent/graph_43.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_105/removal_70percent/graph_9.edgelist: Greedy MIS size = 13
