Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
8,65000,9,0.25,378,32500,30430,32908,32497,2067
9,65000,0,0.025,0,32500,31766,65000,31766,0
1,65000,6,0.125,252,32642,32642,64576,32635,-7
9,65000,0,0.05,0,32500,31766,65000,31766,0
1,65000,6,0.15,252,32642,32642,63984,32629,-13
9,65000,0,0.075,0,32500,31766,65000,31766,0
9,65000,0,0.1,0,32500,31766,64969,31710,-56
1,65000,6,0.175,252,32642,32642,62265,32609,-33
9,65000,0,0.125,0,32500,31766,64494,31927,161
1,65000,6,0.2,252,32642,32642,60381,32584,-58
9,65000,0,0.15,0,32500,31766,61132,32477,711
9,65000,0,0.175,0,32500,31766,51689,32500,734
1,65000,6,0.225,252,32642,32642,57240,32548,-94
9,65000,0,0.2,0,32500,31766,40008,32500,734
1,65000,6,0.25,252,32642,32642,53095,32490,-152
9,65000,0,0.225,0,32500,31766,34282,32500,734
9,65000,0,0.25,0,32500,31766,32725,32500,734
1,65000,7,0.025,294,32665,32642,65000,32642,0
9,65000,1,0.025,42,32500,31906,65000,31906,0
9,65000,1,0.05,42,32500,31906,65000,31906,0
1,65000,7,0.05,294,32665,32642,64998,32642,0
9,65000,1,0.075,42,32500,31906,65000,31906,0
1,65000,7,0.075,294,32665,32642,64981,32627,-15
9,65000,1,0.1,42,32500,31906,64984,31621,-285
9,65000,1,0.125,42,32500,31906,64495,31602,-304
1,65000,7,0.1,294,32665,32642,64905,32558,-84
9,65000,1,0.15,42,32500,31906,61235,32477,571
1,65000,7,0.125,294,32665,32642,64605,32275,-367
9,65000,1,0.175,42,32500,31906,51838,32500,594
9,65000,1,0.2,42,32500,31906,40390,32500,594
1,65000,7,0.15,294,32665,32642,64053,31750,-892
9,65000,1,0.225,42,32500,31906,34334,32500,594
1,65000,7,0.175,294,32665,32642,62209,30056,-2586
9,65000,1,0.25,42,32500,31906,32702,32499,593
9,65000,2,0.025,84,32500,31360,65000,31360,0
1,65000,7,0.2,294,32665,32642,60208,28313,-4329
9,65000,2,0.05,84,32500,31360,65000,31360,0
1,65000,7,0.225,294,32665,32642,56986,32573,-69
9,65000,2,0.075,84,32500,31360,64999,31359,-1
9,65000,2,0.1,84,32500,31360,64966,31301,-59
1,65000,7,0.25,294,32665,32642,52747,32530,-112
9,65000,2,0.125,84,32500,31360,64483,31295,-65
1,65000,8,0.025,336,32656,32656,65000,32656,0
9,65000,2,0.15,84,32500,31360,60966,32478,1118
9,65000,2,0.175,84,32500,31360,51531,32500,1140
1,65000,8,0.05,336,32656,32656,64995,32655,-1
9,65000,2,0.2,84,32500,31360,40131,32500,1140
9,65000,2,0.225,84,32500,31360,34276,32500,1140
1,65000,8,0.075,336,32656,32656,64976,32655,-1
9,65000,2,0.25,84,32500,31360,32705,32500,1140
1,65000,8,0.1,336,32656,32656,64885,32651,-5
9,65000,3,0.025,126,32500,31661,65000,31661,0
9,65000,3,0.05,126,32500,31661,65000,31661,0
1,65000,8,0.125,336,32656,32656,64584,32650,-6
9,65000,3,0.075,126,32500,31661,64999,31661,0
9,65000,3,0.1,126,32500,31661,64973,31610,-51
1,65000,8,0.15,336,32656,32656,64039,32645,-11
9,65000,3,0.125,126,32500,31661,64509,30981,-680
1,65000,8,0.175,336,32656,32656,62257,32618,-38
9,65000,3,0.15,126,32500,31661,61190,32500,839
9,65000,3,0.175,126,32500,31661,51667,32500,839
1,65000,8,0.2,336,32656,32656,60392,32597,-59
9,65000,3,0.2,126,32500,31661,40432,32500,839
1,65000,8,0.225,336,32656,32656,57291,32574,-82
9,65000,3,0.225,126,32500,31661,34361,32500,839
9,65000,3,0.25,126,32500,31661,32748,32500,839
1,65000,8,0.25,336,32656,32656,53153,32503,-153
9,65000,4,0.025,168,32500,31779,65000,31779,0
1,65000,9,0.025,378,32643,32634,65000,32634,0
9,65000,4,0.05,168,32500,31779,65000,31779,0
9,65000,4,0.075,168,32500,31779,65000,31779,0
2.0,65000,0,0.025,0,32501,32175,65000,32175,0
2.0,65000,0,0.05,0,32501,32175,65000,32175,0
2.0,65000,0,0.075,0,32501,32175,64997,32175,0
10.0,65000,0,0.025,0,32500,31771,65000,31771,0
13.0,65000,0,0.025,0,32500,31892,65000,31892,0
15.0,65000,0,0.025,0,32500,31992,65000,31992,0
7.0,65000,0,0.025,0,32500,31731,65000,31731,0
12.0,65000,0,0.025,0,32500,32037,65000,32037,0
4.0,65000,0,0.025,0,32500,30198,65000,30198,0
14.0,65000,0,0.025,0,32500,32076,65000,32076,0
5.0,65000,0,0.025,0,32500,31375,65000,31375,0
6.0,65000,0,0.025,0,32500,31807,65000,31807,0
11.0,65000,0,0.025,0,32500,32022,65000,32022,0
3.0,65000,0,0.025,0,32500,31959,65000,31959,0
2.0,65000,0,0.075,0,32501,32175,64997,32175,0
2.0,65000,0,0.1,0,32501,32175,64970,32175,0
10.0,65000,0,0.05,0,32500,31771,65000,31771,0
13.0,65000,0,0.05,0,32500,31892,65000,31892,0
12.0,65000,0,0.05,0,32500,32037,65000,32037,0
14.0,65000,0,0.05,0,32500,32076,65000,32076,0
7.0,65000,0,0.05,0,32500,31731,65000,31731,0
15.0,65000,0,0.05,0,32500,31992,65000,31992,0
4.0,65000,0,0.05,0,32500,30198,65000,30198,0
5.0,65000,0,0.05,0,32500,31375,65000,31375,0
6.0,65000,0,0.05,0,32500,31807,65000,31807,0
11.0,65000,0,0.05,0,32500,32022,65000,32022,0
3.0,65000,0,0.05,0,32500,31959,65000,31959,0
2.0,65000,0,0.1,0,32501,32175,64970,32175,0
10.0,65000,0,0.075,0,32500,31771,65000,31771,0
13.0,65000,0,0.075,0,32500,31892,65000,31892,0
14.0,65000,0,0.075,0,32500,32076,65000,32076,0
12.0,65000,0,0.075,0,32500,32037,65000,32037,0
7.0,65000,0,0.075,0,32500,31731,64999,31730,-1
4.0,65000,0,0.075,0,32500,30198,64999,30198,0
5.0,65000,0,0.075,0,32500,31375,65000,31375,0
2.0,65000,0,0.125,0,32501,32175,64788,32175,0
11.0,65000,0,0.075,0,32500,32022,64999,32021,-1
15.0,65000,0,0.075,0,32500,31992,64999,31992,0
6.0,65000,0,0.075,0,32500,31807,64999,31807,0
3.0,65000,0,0.075,0,32500,31959,64996,31950,-9
10.0,65000,0,0.1,0,32500,31771,64962,31703,-68
13.0,65000,0,0.1,0,32500,31892,64943,31892,0
2.0,65000,0,0.125,0,32501,32175,64788,32175,0
14.0,65000,0,0.1,0,32500,32076,64930,32076,0
12.0,65000,0,0.1,0,32500,32037,64957,31995,-42
7.0,65000,0,0.1,0,32500,31731,64981,31712,-19
4.0,65000,0,0.1,0,32500,30198,64983,30198,0
5.0,65000,0,0.1,0,32500,31375,64978,31354,-21
11.0,65000,0,0.1,0,32500,32022,64961,31984,-38
6.0,65000,0,0.1,0,32500,31807,64977,31807,0
15.0,65000,0,0.1,0,32500,31992,64935,31992,0
3.0,65000,0,0.1,0,32500,31959,64980,31924,-35
2.0,65000,0,0.15,0,32501,32175,64162,32175,0
10.0,65000,0,0.125,0,32500,31771,64329,31864,93
13.0,65000,0,0.125,0,32500,31892,63820,32459,567
14.0,65000,0,0.125,0,32500,32076,63570,32500,424
12.0,65000,0,0.125,0,32500,32037,64008,32349,312
7.0,65000,0,0.125,0,32500,31731,64663,31137,-594
5.0,65000,0,0.125,0,32500,31375,64807,30970,-405
4.0,65000,0,0.125,0,32500,30198,64820,30198,0
11.0,65000,0,0.125,0,32500,32022,64223,32159,137
6.0,65000,0,0.125,0,32500,31807,64719,31807,0
2.0,65000,0,0.15,0,32501,32175,64162,32175,0
15.0,65000,0,0.125,0,32500,31992,63345,32500,508
3.0,65000,0,0.125,0,32500,31959,64799,31650,-309
10.0,65000,0,0.15,0,32500,31771,60164,32500,729
13.0,65000,0,0.15,0,32500,31892,56742,32500,608
14.0,65000,0,0.15,0,32500,32076,55444,32500,424
2.0,65000,0,0.175,0,32501,32175,62215,32173,-2
12.0,65000,0,0.15,0,32500,32037,57939,32500,463
7.0,65000,0,0.15,0,32500,31731,62623,32309,578
4.0,65000,0,0.15,0,32500,30198,63858,30682,484
5.0,65000,0,0.15,0,32500,31375,63496,31908,533
11.0,65000,0,0.15,0,32500,32022,59162,32500,478
6.0,65000,0,0.15,0,32500,31807,63137,32301,494
15.0,65000,0,0.15,0,32500,31992,54016,32500,508
2.0,65000,0,0.175,0,32501,32175,62215,32173,-2
3.0,65000,0,0.15,0,32500,31959,64055,30603,-1356
10.0,65000,0,0.175,0,32500,31771,48954,32500,729
13.0,65000,0,0.175,0,32500,31892,42845,32500,608
14.0,65000,0,0.175,0,32500,32076,41197,32500,424
12.0,65000,0,0.175,0,32500,32037,44831,32500,463
7.0,65000,0,0.175,0,32500,31731,55607,32500,769
11.0,65000,0,0.175,0,32500,32022,47083,32500,478
5.0,65000,0,0.175,0,32500,31375,59004,32491,1116
4.0,65000,0,0.175,0,32500,30198,60435,32421,2223
6.0,65000,0,0.175,0,32500,31807,57739,32500,693
2.0,65000,0,0.2,0,32501,32175,58857,32454,279
15.0,65000,0,0.175,0,32500,31992,39626,32500,508
10.0,65000,0,0.2,0,32500,31771,38093,32500,729
14.0,65000,0,0.2,0,32500,32076,33945,32500,424
13.0,65000,0,0.2,0,32500,31892,34553,32500,608
3.0,65000,0,0.175,0,32500,31959,62003,31992,33
12.0,65000,0,0.2,0,32500,32037,35498,32500,463
2.0,65000,0,0.2,0,32501,32175,58857,32454,279
7.0,65000,0,0.2,0,32500,31731,44960,32500,769
11.0,65000,0,0.2,0,32500,32022,36749,32500,478
5.0,65000,0,0.2,0,32500,31375,51114,32500,1125
4.0,65000,0,0.2,0,32500,30198,53938,32500,2302
6.0,65000,0,0.2,0,32500,31807,47949,32500,693
10.0,65000,0,0.225,0,32500,31771,33577,32500,729
15.0,65000,0,0.2,0,32500,31992,33504,32500,508
14.0,65000,0,0.225,0,32500,32076,32584,32500,424
13.0,65000,0,0.225,0,32500,31892,32678,32500,608
2.0,65000,0,0.225,0,32501,32175,53221,32478,303
12.0,65000,0,0.225,0,32500,32037,32853,32500,463
3.0,65000,0,0.2,0,32500,31959,56450,32479,520
7.0,65000,0,0.225,0,32500,31731,37031,32500,769
11.0,65000,0,0.225,0,32500,32022,33085,32500,478
2.0,65000,0,0.225,0,32501,32175,53221,32478,303
5.0,65000,0,0.225,0,32500,31375,42132,32499,1124
4.0,65000,0,0.225,0,32500,30198,45681,32498,2300
6.0,65000,0,0.225,0,32500,31807,39244,32500,693
10.0,65000,0,0.25,0,32500,31771,32594,32500,729
14.0,65000,0,0.25,0,32500,32076,32502,32500,424
15.0,65000,0,0.225,0,32500,31992,32547,32500,508
13.0,65000,0,0.25,0,32500,31892,32506,32500,608
12.0,65000,0,0.25,0,32500,32037,32517,32500,463
7.0,65000,0,0.25,0,32500,31731,33501,32499,768
11.0,65000,0,0.25,0,32500,32022,32550,32500,478
3.0,65000,0,0.225,0,32500,31959,49816,32499,540
2.0,65000,0,0.25,0,32501,32175,47106,32463,288
5.0,65000,0,0.25,0,32500,31375,36182,32496,1121
4.0,65000,0,0.25,0,32500,30198,39116,32496,2298
6.0,65000,0,0.25,0,32500,31807,34509,32498,691
10.0,65000,1,0.025,42,32500,32159,65000,32159,0
2.0,65000,0,0.25,0,32501,32175,47106,32463,288
14.0,65000,1,0.025,42,32500,31645,65000,31645,0
13.0,65000,1,0.025,42,32500,31618,65000,31618,0
15.0,65000,0,0.25,0,32500,31992,32502,32500,508
12.0,65000,1,0.025,42,32500,30968,65000,30968,0
7.0,65000,1,0.025,42,32500,32094,65000,32094,0
11.0,65000,1,0.025,42,32500,31927,65000,31927,0
3.0,65000,0,0.25,0,32500,31959,42837,32488,529
5.0,65000,1,0.025,42,32500,31547,65000,31547,0
6.0,65000,1,0.025,42,32500,30976,65000,30976,0
10.0,65000,1,0.05,42,32500,32159,65000,32159,0
4.0,65000,1,0.025,42,32500,32146,65000,32146,0
14.0,65000,1,0.05,42,32500,31645,65000,31645,0
2.0,65000,1,0.025,42,32500,32217,65000,32217,0
13.0,65000,1,0.05,42,32500,31618,65000,31618,0
12.0,65000,1,0.05,42,32500,30968,65000,30968,0
15.0,65000,1,0.025,42,32500,32045,65000,32045,0
2.0,65000,1,0.025,42,32500,32217,65000,32217,0
7.0,65000,1,0.05,42,32500,32094,65000,32094,0
11.0,65000,1,0.05,42,32500,31927,65000,31927,0
3.0,65000,1,0.025,42,32500,31966,65000,31966,0
5.0,65000,1,0.05,42,32500,31547,65000,31547,0
6.0,65000,1,0.05,42,32500,30976,65000,30976,0
14.0,65000,1,0.075,42,32500,31645,65000,31645,0
10.0,65000,1,0.075,42,32500,32159,65000,32159,0
4.0,65000,1,0.05,42,32500,32146,65000,32146,0
13.0,65000,1,0.075,42,32500,31618,65000,31618,0
12.0,65000,1,0.075,42,32500,30968,65000,30968,0
15.0,65000,1,0.05,42,32500,32045,65000,32045,0
2.0,65000,1,0.05,42,32500,32217,65000,32217,0
7.0,65000,1,0.075,42,32500,32094,65000,32094,0
11.0,65000,1,0.075,42,32500,31927,65000,31927,0
2.0,65000,1,0.05,42,32500,32217,65000,32217,0
14.0,65000,1,0.1,42,32500,31645,64961,31645,0
5.0,65000,1,0.075,42,32500,31547,65000,31547,0
6.0,65000,1,0.075,42,32500,30976,65000,30976,0
10.0,65000,1,0.1,42,32500,32159,64981,32141,-18
3.0,65000,1,0.05,42,32500,31966,65000,31966,0
13.0,65000,1,0.1,42,32500,31618,64964,31453,-165
12.0,65000,1,0.1,42,32500,30968,64966,32120,1152
4.0,65000,1,0.075,42,32500,32146,65000,32146,0
15.0,65000,1,0.075,42,32500,32045,65000,32045,0
7.0,65000,1,0.1,42,32500,32094,64985,32060,-34
11.0,65000,1,0.1,42,32500,31927,64974,31902,-25
2.0,65000,1,0.075,42,32500,32217,64999,32216,-1
14.0,65000,1,0.125,42,32500,31645,63658,32500,855
2.0,65000,1,0.075,42,32500,32217,64999,32216,-1
10.0,65000,1,0.125,42,32500,32159,64388,31138,-1021
5.0,65000,1,0.1,42,32500,31547,64990,31465,-82
6.0,65000,1,0.1,42,32500,30976,64991,30976,0
13.0,65000,1,0.125,42,32500,31618,63869,32377,759
12.0,65000,1,0.125,42,32500,30968,64093,32315,1347
3.0,65000,1,0.075,42,32500,31966,64998,31964,-2
4.0,65000,1,0.1,42,32500,32146,64991,32137,-9
7.0,65000,1,0.125,42,32500,32094,64682,31423,-671
11.0,65000,1,0.125,42,32500,31927,64216,31505,-422
15.0,65000,1,0.1,42,32500,32045,64941,31478,-567
14.0,65000,1,0.15,42,32500,31645,55756,32500,855
10.0,65000,1,0.15,42,32500,32159,60296,32500,341
6.0,65000,1,0.125,42,32500,30976,64768,30976,0
5.0,65000,1,0.125,42,32500,31547,64822,31095,-452
13.0,65000,1,0.15,42,32500,31618,57071,32500,882
12.0,65000,1,0.15,42,32500,30968,58209,32500,1532
2.0,65000,1,0.1,42,32500,32217,64977,32190,-27
2.0,65000,1,0.1,42,32500,32217,64977,32190,-27
3.0,65000,1,0.1,42,32500,31966,64990,31957,-9
4.0,65000,1,0.125,42,32500,32146,64832,31894,-252
7.0,65000,1,0.15,42,32500,32094,62637,32283,189
11.0,65000,1,0.15,42,32500,31927,59388,32500,573
14.0,65000,1,0.175,42,32500,31645,41561,32500,855
15.0,65000,1,0.125,42,32500,32045,63390,32453,408
10.0,65000,1,0.175,42,32500,32159,49309,32500,341
13.0,65000,1,0.175,42,32500,31618,43299,32500,882
6.0,65000,1,0.15,42,32500,30976,63186,32026,1050
12.0,65000,1,0.175,42,32500,30968,45372,32500,1532
5.0,65000,1,0.15,42,32500,31547,63553,31532,-15
3.0,65000,1,0.125,42,32500,31966,64860,31790,-176
2.0,65000,1,0.125,42,32500,32217,64844,32043,-174
4.0,65000,1,0.15,42,32500,32146,63948,30639,-1507
2.0,65000,1,0.125,42,32500,32217,64844,32043,-174
7.0,65000,1,0.175,42,32500,32094,55785,32500,406
14.0,65000,1,0.2,42,32500,31645,34023,32500,855
11.0,65000,1,0.175,42,32500,31927,47584,32500,573
10.0,65000,1,0.2,42,32500,32159,38597,32500,341
13.0,65000,1,0.2,42,32500,31618,34748,32500,882
15.0,65000,1,0.15,42,32500,32045,54440,32500,455
12.0,65000,1,0.2,42,32500,30968,35701,32500,1532
6.0,65000,1,0.175,42,32500,30976,57838,32500,1524
5.0,65000,1,0.175,42,32500,31547,59143,32466,919
3.0,65000,1,0.15,42,32500,31966,64033,30660,-1306
14.0,65000,1,0.225,42,32500,31645,32608,32500,855
7.0,65000,1,0.2,42,32500,32094,45150,32500,406
4.0,65000,1,0.175,42,32500,32146,60458,32326,180
11.0,65000,1,0.2,42,32500,31927,36892,32500,573
2.0,65000,1,0.15,42,32500,32217,64206,31331,-886
10.0,65000,1,0.225,42,32500,32159,33576,32500,341
13.0,65000,1,0.225,42,32500,31618,32711,32500,882
12.0,65000,1,0.225,42,32500,30968,32865,32500,1532
2.0,65000,1,0.15,42,32500,32217,64206,31331,-886
15.0,65000,1,0.175,42,32500,32045,39997,32500,455
6.0,65000,1,0.2,42,32500,30976,48150,32500,1524
5.0,65000,1,0.2,42,32500,31547,51237,32500,953
14.0,65000,1,0.25,42,32500,31645,32505,32500,855
11.0,65000,1,0.225,42,32500,31927,33130,32500,573
3.0,65000,1,0.175,42,32500,31966,61889,32078,112
7.0,65000,1,0.225,42,32500,32094,37184,32500,406
10.0,65000,1,0.25,42,32500,32159,32591,32499,340
13.0,65000,1,0.25,42,32500,31618,32509,32500,882
12.0,65000,1,0.25,42,32500,30968,32520,32500,1532
4.0,65000,1,0.2,42,32500,32146,54044,32499,353
2.0,65000,1,0.175,42,32500,32217,62193,29609,-2608
15.0,65000,1,0.2,42,32500,32045,33585,32500,455
6.0,65000,1,0.225,42,32500,30976,39258,32500,1524
5.0,65000,1,0.225,42,32500,31547,42098,32499,952
2.0,65000,1,0.175,42,32500,32217,62193,29609,-2608
14.0,65000,2,0.025,84,32500,32270,65000,32270,0
11.0,65000,1,0.25,42,32500,31927,32541,32500,573
7.0,65000,1,0.25,42,32500,32094,33450,32498,404
10.0,65000,2,0.025,84,32500,30635,65000,30635,0
13.0,65000,2,0.025,84,32500,32333,65000,32333,0
12.0,65000,2,0.025,84,32500,31855,65000,31855,0
3.0,65000,1,0.2,42,32500,31966,56825,32479,513
4.0,65000,1,0.225,42,32500,32146,45581,32499,353
15.0,65000,1,0.225,42,32500,32045,32548,32500,455
6.0,65000,1,0.25,42,32500,30976,34594,32497,1521
